baker_name,baker,baker_age,baker_occupation,hometown,series,episode,signature_bake,show_stopper,technical,result
Steven Carter-Bailey,Steven,34,Marketer,"Watford, Hertfordshire",8,9,Key Lime Cheesecake and Bakewell Tart Choux Buns,'Some Air Over the Rainbow' Meringue Centrepiece,3,IN
Steven Carter-Bailey,Steven,34,Marketer,"Watford, Hertfordshire",8,10,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",'Yin Yang' Entremet,1,Runner-up
Stu Henshall,Stu,35,Professional musician,"Guildford, Surrey",6,1,Marley Madeira Cake,Purple Forest Gâteau,11,OUT
Stuart Marston-Smith,Stuart,26,PE teacher,"Lichfield, Staffordshire",3,1,Tomato and Ginger,Lemon and Pistachio Union Flag Cake,9,IN
Stuart Marston-Smith,Stuart,26,PE teacher,"Lichfield, Staffordshire",3,2,Bombay BreadChorizo and Spring Onion Naan,"Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels",9,IN
Stuart Marston-Smith,Stuart,26,PE teacher,"Lichfield, Staffordshire",3,3,Pear and Almond Tarte Tatin,Raspberry Triple Chocolate Layered Tart,7,IN
Stuart Marston-Smith,Stuart,26,PE teacher,"Lichfield, Staffordshire",3,4,Black Forest Torte,Choca Blocka Mocha Meringue,8,OUT
Tamal Ray,Tamal,29,Trainee anaesthetist,Manchester,6,1,Pistachio and Rose Madeira Cake,Black Forest Gâteau in a Chocolate Shell,4,IN
Tamal Ray,Tamal,29,Trainee anaesthetist,Manchester,6,2,"Cinnamon, Maple and Cranberry Biscotti",Chessboard Box,8,IN
Tamal Ray,Tamal,29,Trainee anaesthetist,Manchester,6,3,"Fig, Cheese and Walnut Breads",Breadcycle,3,IN
Tamal Ray,Tamal,29,Trainee anaesthetist,Manchester,6,4,Rhubarb and Ginger Crème Brûlées,"Mango, Hazelnut and Rosemary Cheesecake Trio",5,IN
Tamal Ray,Tamal,29,Trainee anaesthetist,Manchester,6,5,Honey and Grapefruit Polenta Cake,Passion Fruit and Pineapple Ice Cream Roll,7,IN
Tamal Ray,Tamal,29,Trainee anaesthetist,Manchester,6,6,Spiced Pear Frangipane Tart,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents,7,IN
Tamal Ray,Tamal,29,Trainee anaesthetist,Manchester,6,7,Middle Eastern Game Pie,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe",3,STAR BAKER
Tamal Ray,Tamal,29,Trainee anaesthetist,Manchester,6,8,Lime & Mascarpone and Malt Cream Horns,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne,4,IN
Tamal Ray,Tamal,29,Trainee anaesthetist,Manchester,6,9,Chocolate New York Pie,Chocolate Bell Tower,2,IN
Tamal Ray,Tamal,29,Trainee anaesthetist,Manchester,6,10,Cinnamon and Apple & Toffee and Marmalade Iced Buns,Sticky Toffee Pudding Cake,3,Runner-up
Terry Hartill,Terry,56,Retired air steward,West Midlands,9,NA,NA,NA,NA,NA
Toby Waterworth,Toby,30,Web Programmer,"Reading, Berkshire",4,1,Spiced and Iced Carrot Cake,Two Tiered Chocolate Cake,13,OUT
Tom Gilliford,Tom,26,Project engagement manager,Rochdale,7,1,G&T Drizzle Cake,Black Forest Broken Mirror,2,IN
Tom Gilliford,Tom,26,Project engagement manager,Rochdale,7,2,Chai Frappelatteccino Biscuits,Tom and Pod's Near Death Experience,7,IN
Tom Gilliford,Tom,26,Project engagement manager,Rochdale,7,3,Chocolate Orange and Chilli Swirl Bread,Jörmungandr and Mjölnir,4,STAR BAKER
Tom Gilliford,Tom,26,Project engagement manager,Rochdale,7,4,West Yorkshire Fusion Puddings,Fennel Churros Snake In The Grass,5,IN
Tom Gilliford,Tom,26,Project engagement manager,Rochdale,7,5,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,Yin and Yang Amuse-bouche,4,IN
Tom Gilliford,Tom,26,Project engagement manager,Rochdale,7,6,Blood Orange Halloween Pumpkin Pie,Floral Tea Cake,1,STAR BAKER
Tom Gilliford,Tom,26,Project engagement manager,Rochdale,7,7,Millionaire's Roulade,Hipster Picnic,5,OUT
Tom Hetherington,Tom,29,Architect,Edinburgh,8,1,Gilded Pear and Cardamom Cake,'Stack of Books' Cake,7,IN
Tom Hetherington,Tom,29,Architect,Edinburgh,8,2,Coffee and Amaretto Kisses,'Drain Pipes and Ladders' Game,5,IN
Tom Hetherington,Tom,29,Architect,Edinburgh,8,3,Orange and Cranberry Teacakes,'Pink & Yellow Rose Centrepiece' Bread Sculpture,4,IN
Tom Hetherington,Tom,29,Architect,Edinburgh,8,4,Stem Ginger Caramel Shortbreads,Hummingbird Cake,5,OUT
Ugnė Bubnaityte,Ugnė,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",6,1,Lemon and Thyme Madeira Cake,Falling Cup Gâteau,1,IN
Ugnė Bubnaityte,Ugnė,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",6,2,White Wine Biscotti,Baby Climbing into the Cookie Box,7,IN
Ugnė Bubnaityte,Ugnė,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",6,3,Chocolate Quick Breads with Salted Caramel Sauce,Easter Basket,5,IN
Ugnė Bubnaityte,Ugnė,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",6,4,Marula Fruit and Coffee Liqueur Crème Brûlées,"Lime, Coconut and Hazelnut Cheesecakes",2,IN
Ugnė Bubnaityte,Ugnė,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",6,5,Chocolate and Hazelnut Sugar-Free Cake,"Chocolate, Peanut Butter and Grape Jam Roll",6,OUT
Urvashi Roe,Urvashi,40,Head of Marketing,"Enfield, London",2,1,Cherry Blossom CupcakesJapanese Lime Cupcakes,UNKNOWN,7,IN
Urvashi Roe,Urvashi,40,Head of Marketing,"Enfield, London",2,2,"Crab, Coriander and Coconut Quiche",Strawberry and Basil TartsElderflower and Honeycomb Tarts,7,IN
Urvashi Roe,Urvashi,40,Head of Marketing,"Enfield, London",2,3,Salt and Peppercorn Loaf,Chilli and Halloumi RollsLemon and Coriander Mini Loaves,9,OUT
Val Stones,Val,66,"Semi-retired, Substitute teacher",Yeovil,7,1,Mum's Orange and Lemon Drizzle,Chocolate Sponge with Four Fruit Frosting,10,IN
Val Stones,Val,66,"Semi-retired, Substitute teacher",Yeovil,7,2,Sunday Treat Iced Ice Cream Cone Biscuits,From Holland to New York via Yorkshire,5,IN
Val Stones,Val,66,"Semi-retired, Substitute teacher",Yeovil,7,3,Double Chocolate Cinnamon Twist Loaf,"""And They All Went Into The Ark To Get Out Of The Rain""",1,IN
Val Stones,Val,66,"Semi-retired, Substitute teacher",Yeovil,7,4,Mum's Chilli Yorkshire Puddings,Orange Chocolate Churros,6,IN
Val Stones,Val,66,"Semi-retired, Substitute teacher",Yeovil,7,5,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels",7,OUT
Victoria Chester,Victoria,50,CEO of the charity Plantlife,Somerset,3,1,Pear and Pecan,Blackbird Pie Cake,4,STAR BAKER
Victoria Chester,Victoria,50,CEO of the charity Plantlife,Somerset,3,2,Coriander and Lemon NaanGarlic and Parsnip Chapatis,"Saffron and Golden Raisin Bagels
Porcini Bagels",7,IN
Victoria Chester,Victoria,50,CEO of the charity Plantlife,Somerset,3,3,"Fig, Walnut and Pink Peppercorn Tarte Tatin",Tropical Fruit Tart with Black Pepper Crust,4,OUT
Yasmin Limbert,Yasmin,43,Childminder,"West Kirby, The Wirral",2,1,Cardamom and Pomegranate Cupcakes,UNKNOWN,5,IN
Yasmin Limbert,Yasmin,43,Childminder,"West Kirby, The Wirral",2,2,Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts,6,IN
Yasmin Limbert,Yasmin,43,Childminder,"West Kirby, The Wirral",2,3,Egyptian Dukkah Loaf with Mixed Spices,"Pesto Bread
Sweet Coconut Rolls",2,STAR BAKER
Yasmin Limbert,Yasmin,43,Childminder,"West Kirby, The Wirral",2,4,Chocolate Chip and Pistachio Biscotti,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons,6,IN
Yasmin Limbert,Yasmin,43,Childminder,"West Kirby, The Wirral",2,5,Family Fish Pie,Peach and Raspberry Meringue Pie,5,IN
Yasmin Limbert,Yasmin,43,Childminder,"West Kirby, The Wirral",2,6,Baked Amaretto Cheesecake,Rose Croquembouche,2,OUT
NA,"""Jo""",NA,NA,NA,2,1,Chocolate Orange CupcakesOrange and Cardamom Cupcakes,Chocolate and Strawberry Cake,NA,NA
NA,"""Jo""",NA,NA,NA,2,2,"Caramelised Onion, Gruyere and Thyme Quiche",Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust,NA,NA
NA,"""Jo""",NA,NA,NA,2,3,"Stromboli flavored with Mozzarella, Ham, and Picante Pepper",Unknown,NA,NA
NA,"""Jo""",NA,NA,NA,2,4,Lavender Biscuits,Blueberry MacaronsCoconut MacaronsStrawberry Macarons,NA,NA
NA,"""Jo""",NA,NA,NA,2,5,Salmon and Asparagus Pie,Apple and Raspberry Meringue Pie,NA,NA
NA,"""Jo""",NA,NA,NA,2,6,Rum and Raisin Baked Cheesecake,Limoncello and White Chocolate Croquembouche,NA,NA
NA,"""Jo""",NA,NA,NA,2,7,Raspberry & Strawberry Mousse Cake,Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries,NA,NA
NA,"""Jo""",NA,NA,NA,2,8,Raspberry and Blueberry Mille Feuille,"Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse",NA,NA
NA,Lea,NA,NA,NA,1,2,NA,NA,NA,NA
NA,Mark,NA,NA,NA,1,2,NA,NA,NA,NA
NA,Annetha,NA,NA,NA,1,3,NA,NA,NA,NA
NA,Lea,NA,NA,NA,1,3,NA,NA,NA,NA
NA,Louise,NA,NA,NA,1,3,NA,NA,NA,NA
NA,Mark,NA,NA,NA,1,3,NA,NA,NA,NA
NA,Annetha,NA,NA,NA,1,4,NA,NA,NA,NA
NA,Jonathan,NA,NA,NA,1,4,NA,NA,NA,NA
NA,Lea,NA,NA,NA,1,4,NA,NA,NA,NA
NA,Louise,NA,NA,NA,1,4,NA,NA,NA,NA
NA,Mark,NA,NA,NA,1,4,NA,NA,NA,NA
NA,Annetha,NA,NA,NA,1,5,NA,NA,NA,NA
NA,David,NA,NA,NA,1,5,NA,NA,NA,NA
NA,Jonathan,NA,NA,NA,1,5,NA,NA,NA,NA
NA,Lea,NA,NA,NA,1,5,NA,NA,NA,NA
NA,Louise,NA,NA,NA,1,5,NA,NA,NA,NA
NA,Mark,NA,NA,NA,1,5,NA,NA,NA,NA
NA,Annetha,NA,NA,NA,1,6,NA,NA,NA,NA
NA,David,NA,NA,NA,1,6,NA,NA,NA,NA
NA,Jasminder,NA,NA,NA,1,6,NA,NA,NA,NA
NA,Jonathan,NA,NA,NA,1,6,NA,NA,NA,NA
NA,Lea,NA,NA,NA,1,6,NA,NA,NA,NA
NA,Louise,NA,NA,NA,1,6,NA,NA,NA,NA
NA,Mark,NA,NA,NA,1,6,NA,NA,NA,NA
NA,Joanne,NA,NA,NA,2,1,NA,NA,11,IN
NA,Joanne,NA,NA,NA,2,2,NA,NA,10,IN
NA,Keith,NA,NA,NA,2,2,NA,NA,NA,NA
NA,Joanne,NA,NA,NA,2,3,NA,NA,1,IN
NA,Keith,NA,NA,NA,2,3,NA,NA,NA,NA
NA,Simon,NA,NA,NA,2,3,NA,NA,NA,NA
NA,Joanne,NA,NA,NA,2,4,NA,NA,8,IN
NA,Ian,NA,NA,NA,2,4,NA,NA,NA,NA
NA,Keith,NA,NA,NA,2,4,NA,NA,NA,NA
NA,Simon,NA,NA,NA,2,4,NA,NA,NA,NA
NA,Urvashi,NA,NA,NA,2,4,NA,NA,NA,NA
NA,Joanne,NA,NA,NA,2,5,NA,NA,6,IN
NA,Ben,NA,NA,NA,2,5,NA,NA,NA,NA
NA,Ian,NA,NA,NA,2,5,NA,NA,NA,NA
NA,Keith,NA,NA,NA,2,5,NA,NA,NA,NA
NA,Simon,NA,NA,NA,2,5,NA,NA,NA,NA
NA,Urvashi,NA,NA,NA,2,5,NA,NA,NA,NA
NA,Joanne,NA,NA,NA,2,6,NA,NA,1,STAR BAKER
NA,Ben,NA,NA,NA,2,6,NA,NA,NA,NA
NA,Ian,NA,NA,NA,2,6,NA,NA,NA,NA
NA,Jason,NA,NA,NA,2,6,NA,NA,NA,NA
NA,Keith,NA,NA,NA,2,6,NA,NA,NA,NA
NA,Robert,NA,NA,NA,2,6,NA,NA,NA,NA
NA,Simon,NA,NA,NA,2,6,NA,NA,NA,NA
NA,Urvashi,NA,NA,NA,2,6,NA,NA,NA,NA
NA,Joanne,NA,NA,NA,2,7,NA,NA,3,IN
NA,Ben,NA,NA,NA,2,7,NA,NA,NA,NA
NA,Ian,NA,NA,NA,2,7,NA,NA,NA,NA
NA,Jason,NA,NA,NA,2,7,NA,NA,NA,NA
NA,Keith,NA,NA,NA,2,7,NA,NA,NA,NA
NA,Robert,NA,NA,NA,2,7,NA,NA,NA,NA
NA,Simon,NA,NA,NA,2,7,NA,NA,NA,NA
NA,Urvashi,NA,NA,NA,2,7,NA,NA,NA,NA
NA,Yasmin,NA,NA,NA,2,7,NA,NA,NA,NA
NA,Joanne,NA,NA,NA,2,8,NA,NA,1,WINNER
NA,Ben,NA,NA,NA,2,8,NA,NA,NA,NA
NA,Ian,NA,NA,NA,2,8,NA,NA,NA,NA
NA,Janet,NA,NA,NA,2,8,NA,NA,NA,NA
NA,Jason,NA,NA,NA,2,8,NA,NA,NA,NA
NA,Keith,NA,NA,NA,2,8,NA,NA,NA,NA
NA,Robert,NA,NA,NA,2,8,NA,NA,NA,NA
NA,Simon,NA,NA,NA,2,8,NA,NA,NA,NA
NA,Urvashi,NA,NA,NA,2,8,NA,NA,NA,NA
NA,Yasmin,NA,NA,NA,2,8,NA,NA,NA,NA
NA,Natasha,NA,NA,NA,3,2,NA,NA,NA,NA
NA,Natasha,NA,NA,NA,3,3,NA,NA,NA,NA
NA,Peter,NA,NA,NA,3,3,NA,NA,NA,NA
NA,Natasha,NA,NA,NA,3,4,NA,NA,NA,NA
NA,Peter,NA,NA,NA,3,4,NA,NA,NA,NA
NA,Victoria,NA,NA,NA,3,4,NA,NA,NA,NA
NA,Natasha,NA,NA,NA,3,5,NA,NA,NA,NA
NA,Peter,NA,NA,NA,3,5,NA,NA,NA,NA
NA,Stuart,NA,NA,NA,3,5,NA,NA,NA,NA
NA,Victoria,NA,NA,NA,3,5,NA,NA,NA,NA
NA,Manisha,NA,NA,NA,3,6,NA,NA,NA,NA
NA,Natasha,NA,NA,NA,3,6,NA,NA,NA,NA
NA,Peter,NA,NA,NA,3,6,NA,NA,NA,NA
NA,Stuart,NA,NA,NA,3,6,NA,NA,NA,NA
NA,Victoria,NA,NA,NA,3,6,NA,NA,NA,NA
NA,Manisha,NA,NA,NA,3,7,NA,NA,NA,NA
NA,Natasha,NA,NA,NA,3,7,NA,NA,NA,NA
NA,Peter,NA,NA,NA,3,7,NA,NA,NA,NA
NA,Stuart,NA,NA,NA,3,7,NA,NA,NA,NA
NA,Victoria,NA,NA,NA,3,7,NA,NA,NA,NA
NA,Manisha,NA,NA,NA,3,8,NA,NA,NA,NA
NA,Natasha,NA,NA,NA,3,8,NA,NA,NA,NA
NA,Peter,NA,NA,NA,3,8,NA,NA,NA,NA
NA,Ryan,NA,NA,NA,3,8,NA,NA,NA,NA
NA,Sarah-Jane,NA,NA,NA,3,8,NA,NA,NA,NA
NA,Stuart,NA,NA,NA,3,8,NA,NA,NA,NA
NA,Victoria,NA,NA,NA,3,8,NA,NA,NA,NA
NA,Cathryn,NA,NA,NA,3,9,NA,NA,NA,NA
NA,Manisha,NA,NA,NA,3,9,NA,NA,NA,NA
NA,Natasha,NA,NA,NA,3,9,NA,NA,NA,NA
NA,Peter,NA,NA,NA,3,9,NA,NA,NA,NA
NA,Ryan,NA,NA,NA,3,9,NA,NA,NA,NA
NA,Sarah-Jane,NA,NA,NA,3,9,NA,NA,NA,NA
NA,Stuart,NA,NA,NA,3,9,NA,NA,NA,NA
NA,Victoria,NA,NA,NA,3,9,NA,NA,NA,NA
NA,Cathryn,NA,NA,NA,3,10,NA,NA,NA,NA
NA,Danny,NA,NA,NA,3,10,NA,NA,NA,NA
NA,Manisha,NA,NA,NA,3,10,NA,NA,NA,NA
NA,Natasha,NA,NA,NA,3,10,NA,NA,NA,NA
NA,Peter,NA,NA,NA,3,10,NA,NA,NA,NA
NA,Ryan,NA,NA,NA,3,10,NA,NA,NA,NA
NA,Sarah-Jane,NA,NA,NA,3,10,NA,NA,NA,NA
NA,Stuart,NA,NA,NA,3,10,NA,NA,NA,NA
NA,Victoria,NA,NA,NA,3,10,NA,NA,NA,NA
NA,Toby,NA,NA,NA,4,2,NA,NA,NA,NA
NA,Lucy,NA,NA,NA,4,3,NA,NA,NA,NA
NA,Toby,NA,NA,NA,4,3,NA,NA,NA,NA
NA,Deborah,NA,NA,NA,4,4,NA,NA,NA,NA
NA,Lucy,NA,NA,NA,4,4,NA,NA,NA,NA
NA,Mark,NA,NA,NA,4,4,NA,NA,NA,NA
NA,Toby,NA,NA,NA,4,4,NA,NA,NA,NA
NA,Ali,NA,NA,NA,4,5,NA,NA,NA,NA
NA,Deborah,NA,NA,NA,4,5,NA,NA,NA,NA
NA,Lucy,NA,NA,NA,4,5,NA,NA,NA,NA
NA,Mark,NA,NA,NA,4,5,NA,NA,NA,NA
NA,Toby,NA,NA,NA,4,5,NA,NA,NA,NA
NA,Ali,NA,NA,NA,4,6,NA,NA,NA,NA
NA,Deborah,NA,NA,NA,4,6,NA,NA,NA,NA
NA,Lucy,NA,NA,NA,4,6,NA,NA,NA,NA
NA,Mark,NA,NA,NA,4,6,NA,NA,NA,NA
NA,Robert,NA,NA,NA,4,6,NA,NA,NA,NA
NA,Toby,NA,NA,NA,4,6,NA,NA,NA,NA
NA,Ali,NA,NA,NA,4,7,NA,NA,NA,NA
NA,Deborah,NA,NA,NA,4,7,NA,NA,NA,NA
NA,Howard,NA,NA,NA,4,7,NA,NA,NA,NA
NA,Lucy,NA,NA,NA,4,7,NA,NA,NA,NA
NA,Mark,NA,NA,NA,4,7,NA,NA,NA,NA
NA,Robert,NA,NA,NA,4,7,NA,NA,NA,NA
NA,Toby,NA,NA,NA,4,7,NA,NA,NA,NA
NA,Ali,NA,NA,NA,4,8,NA,NA,NA,NA
NA,Deborah,NA,NA,NA,4,8,NA,NA,NA,NA
NA,Glenn,NA,NA,NA,4,8,NA,NA,NA,NA
NA,Howard,NA,NA,NA,4,8,NA,NA,NA,NA
NA,Lucy,NA,NA,NA,4,8,NA,NA,NA,NA
NA,Mark,NA,NA,NA,4,8,NA,NA,NA,NA
NA,Robert,NA,NA,NA,4,8,NA,NA,NA,NA
NA,Toby,NA,NA,NA,4,8,NA,NA,NA,NA
NA,Ali,NA,NA,NA,4,9,NA,NA,NA,NA
NA,Christine,NA,NA,NA,4,9,NA,NA,NA,NA
NA,Deborah,NA,NA,NA,4,9,NA,NA,NA,NA
NA,Glenn,NA,NA,NA,4,9,NA,NA,NA,NA
NA,Howard,NA,NA,NA,4,9,NA,NA,NA,NA
NA,Lucy,NA,NA,NA,4,9,NA,NA,NA,NA
NA,Mark,NA,NA,NA,4,9,NA,NA,NA,NA
NA,Robert,NA,NA,NA,4,9,NA,NA,NA,NA
NA,Toby,NA,NA,NA,4,9,NA,NA,NA,NA
NA,Ali,NA,NA,NA,4,10,NA,NA,NA,NA
NA,Beca,NA,NA,NA,4,10,NA,NA,NA,NA
NA,Christine,NA,NA,NA,4,10,NA,NA,NA,NA
NA,Deborah,NA,NA,NA,4,10,NA,NA,NA,NA
NA,Glenn,NA,NA,NA,4,10,NA,NA,NA,NA
NA,Howard,NA,NA,NA,4,10,NA,NA,NA,NA
NA,Lucy,NA,NA,NA,4,10,NA,NA,NA,NA
NA,Mark,NA,NA,NA,4,10,NA,NA,NA,NA
NA,Robert,NA,NA,NA,4,10,NA,NA,NA,NA
NA,Toby,NA,NA,NA,4,10,NA,NA,NA,NA
NA,Claire,NA,NA,NA,5,2,NA,NA,NA,NA
NA,Claire,NA,NA,NA,5,3,NA,NA,NA,NA
NA,Enwezor,NA,NA,NA,5,3,NA,NA,NA,NA
NA,Claire,NA,NA,NA,5,4,NA,NA,NA,NA
NA,Enwezor,NA,NA,NA,5,4,NA,NA,NA,NA
NA,Jordan,NA,NA,NA,5,4,NA,NA,NA,NA
NA,Diana,NA,NA,NA,5,5,NA,NA,NA,WD
NA,Claire,NA,NA,NA,5,5,NA,NA,NA,NA
NA,Enwezor,NA,NA,NA,5,5,NA,NA,NA,NA
NA,Iain,NA,NA,NA,5,5,NA,NA,NA,NA
NA,Jordan,NA,NA,NA,5,5,NA,NA,NA,NA
NA,Diana,NA,NA,NA,5,6,NA,NA,NA,IN
NA,Claire,NA,NA,NA,5,6,NA,NA,NA,NA
NA,Enwezor,NA,NA,NA,5,6,NA,NA,NA,NA
NA,Iain,NA,NA,NA,5,6,NA,NA,NA,NA
NA,Jordan,NA,NA,NA,5,6,NA,NA,NA,NA
NA,Norman,NA,NA,NA,5,6,NA,NA,NA,NA
NA,Diana,NA,NA,NA,5,7,NA,NA,NA,IN
NA,Claire,NA,NA,NA,5,7,NA,NA,NA,NA
NA,Enwezor,NA,NA,NA,5,7,NA,NA,NA,NA
NA,Iain,NA,NA,NA,5,7,NA,NA,NA,NA
NA,Jordan,NA,NA,NA,5,7,NA,NA,NA,NA
NA,Norman,NA,NA,NA,5,7,NA,NA,NA,NA
NA,Diana,NA,NA,NA,5,8,NA,NA,NA,IN
NA,Claire,NA,NA,NA,5,8,NA,NA,NA,NA
NA,Enwezor,NA,NA,NA,5,8,NA,NA,NA,NA
NA,Iain,NA,NA,NA,5,8,NA,NA,NA,NA
NA,Jordan,NA,NA,NA,5,8,NA,NA,NA,NA
NA,Kate,NA,NA,NA,5,8,NA,NA,NA,NA
NA,Norman,NA,NA,NA,5,8,NA,NA,NA,NA
NA,Diana,NA,NA,NA,5,9,NA,NA,NA,IN
NA,Claire,NA,NA,NA,5,9,NA,NA,NA,NA
NA,Enwezor,NA,NA,NA,5,9,NA,NA,NA,NA
NA,Iain,NA,NA,NA,5,9,NA,NA,NA,NA
NA,Jordan,NA,NA,NA,5,9,NA,NA,NA,NA
NA,Kate,NA,NA,NA,5,9,NA,NA,NA,NA
NA,Martha,NA,NA,NA,5,9,NA,NA,NA,NA
NA,Norman,NA,NA,NA,5,9,NA,NA,NA,NA
NA,Diana,NA,NA,NA,5,10,NA,NA,NA,IN
NA,Chetna,NA,NA,NA,5,10,NA,NA,NA,NA
NA,Claire,NA,NA,NA,5,10,NA,NA,NA,NA
NA,Enwezor,NA,NA,NA,5,10,NA,NA,NA,NA
NA,Iain,NA,NA,NA,5,10,NA,NA,NA,NA
NA,Jordan,NA,NA,NA,5,10,NA,NA,NA,NA
NA,Kate,NA,NA,NA,5,10,NA,NA,NA,NA
NA,Martha,NA,NA,NA,5,10,NA,NA,NA,NA
NA,Norman,NA,NA,NA,5,10,NA,NA,NA,NA
NA,Stu,NA,NA,NA,6,2,NA,NA,NA,NA
NA,Marie,NA,NA,NA,6,3,NA,NA,NA,NA
NA,Stu,NA,NA,NA,6,3,NA,NA,NA,NA
NA,Dorret,NA,NA,NA,6,4,NA,NA,NA,NA
NA,Marie,NA,NA,NA,6,4,NA,NA,NA,NA
NA,Stu,NA,NA,NA,6,4,NA,NA,NA,NA
NA,Dorret,NA,NA,NA,6,5,NA,NA,NA,NA
NA,Marie,NA,NA,NA,6,5,NA,NA,NA,NA
NA,Sandy,NA,NA,NA,6,5,NA,NA,NA,NA
NA,Stu,NA,NA,NA,6,5,NA,NA,NA,NA
NA,Dorret,NA,NA,NA,6,6,NA,NA,NA,NA
NA,Marie,NA,NA,NA,6,6,NA,NA,NA,NA
NA,Sandy,NA,NA,NA,6,6,NA,NA,NA,NA
NA,Stu,NA,NA,NA,6,6,NA,NA,NA,NA
NA,Ugnė,NA,NA,NA,6,6,NA,NA,NA,NA
NA,Alvin,NA,NA,NA,6,7,NA,NA,NA,NA
NA,Dorret,NA,NA,NA,6,7,NA,NA,NA,NA
NA,Marie,NA,NA,NA,6,7,NA,NA,NA,NA
NA,Sandy,NA,NA,NA,6,7,NA,NA,NA,NA
NA,Stu,NA,NA,NA,6,7,NA,NA,NA,NA
NA,Ugnė,NA,NA,NA,6,7,NA,NA,NA,NA
NA,Alvin,NA,NA,NA,6,8,NA,NA,NA,NA
NA,Dorret,NA,NA,NA,6,8,NA,NA,NA,NA
NA,Marie,NA,NA,NA,6,8,NA,NA,NA,NA
NA,Mat,NA,NA,NA,6,8,NA,NA,NA,NA
NA,Sandy,NA,NA,NA,6,8,NA,NA,NA,NA
NA,Stu,NA,NA,NA,6,8,NA,NA,NA,NA
NA,Ugnė,NA,NA,NA,6,8,NA,NA,NA,NA
NA,Alvin,NA,NA,NA,6,9,NA,NA,NA,NA
NA,Dorret,NA,NA,NA,6,9,NA,NA,NA,NA
NA,Marie,NA,NA,NA,6,9,NA,NA,NA,NA
NA,Mat,NA,NA,NA,6,9,NA,NA,NA,NA
NA,Paul,NA,NA,NA,6,9,NA,NA,NA,NA
NA,Sandy,NA,NA,NA,6,9,NA,NA,NA,NA
NA,Stu,NA,NA,NA,6,9,NA,NA,NA,NA
NA,Ugnė,NA,NA,NA,6,9,NA,NA,NA,NA
NA,Alvin,NA,NA,NA,6,10,NA,NA,NA,NA
NA,Dorret,NA,NA,NA,6,10,NA,NA,NA,NA
NA,Flora,NA,NA,NA,6,10,NA,NA,NA,NA
NA,Marie,NA,NA,NA,6,10,NA,NA,NA,NA
NA,Mat,NA,NA,NA,6,10,NA,NA,NA,NA
NA,Paul,NA,NA,NA,6,10,NA,NA,NA,NA
NA,Sandy,NA,NA,NA,6,10,NA,NA,NA,NA
NA,Stu,NA,NA,NA,6,10,NA,NA,NA,NA
NA,Ugnė,NA,NA,NA,6,10,NA,NA,NA,NA
NA,Lee,NA,NA,NA,7,2,NA,NA,NA,NA
NA,Lee,NA,NA,NA,7,3,NA,NA,NA,NA
NA,Louise,NA,NA,NA,7,3,NA,NA,NA,NA
NA,Lee,NA,NA,NA,7,4,NA,NA,NA,NA
NA,Louise,NA,NA,NA,7,4,NA,NA,NA,NA
NA,Michael,NA,NA,NA,7,4,NA,NA,NA,NA
NA,Kate,NA,NA,NA,7,5,NA,NA,NA,NA
NA,Lee,NA,NA,NA,7,5,NA,NA,NA,NA
NA,Louise,NA,NA,NA,7,5,NA,NA,NA,NA
NA,Michael,NA,NA,NA,7,5,NA,NA,NA,NA
NA,Kate,NA,NA,NA,7,6,NA,NA,NA,NA
NA,Lee,NA,NA,NA,7,6,NA,NA,NA,NA
NA,Louise,NA,NA,NA,7,6,NA,NA,NA,NA
NA,Michael,NA,NA,NA,7,6,NA,NA,NA,NA
NA,Val,NA,NA,NA,7,6,NA,NA,NA,NA
NA,Kate,NA,NA,NA,7,7,NA,NA,NA,NA
NA,Lee,NA,NA,NA,7,7,NA,NA,NA,NA
NA,Louise,NA,NA,NA,7,7,NA,NA,NA,NA
NA,Michael,NA,NA,NA,7,7,NA,NA,NA,NA
NA,Rav,NA,NA,NA,7,7,NA,NA,NA,NA
NA,Val,NA,NA,NA,7,7,NA,NA,NA,NA
NA,Kate,NA,NA,NA,7,8,NA,NA,NA,NA
